人群,年龄小值,年龄大值,性别,体重/kg,活动水平,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,碘（μg）,铜（毫克）,氟（毫克）,铬（μg）,锰（毫克）,钼（μg）,维生素A（μg）,维生素C（毫克）,维生素D（μg）,维生素E（毫克）,维生素K（μg）,维生素B1（毫克）,维生素B2（毫克）,维生素B6（毫克）,维生素B12（μg）,泛酸（毫克）,叶酸（μg）,烟酸（毫克）,生物素（μg）
婴儿,0,0.5,男,6.7,-,900,20,45,0,300,150,500,200,30,0.3,1.5,15,50,0.4,0.1,10,3.5,2,400,40,10,3,12,0.2,1.4,0.1,0.4,1.7,65,2,5
婴儿,0,0.5,女,6.2,-,850,20,43,0,300,150,500,200,30,0.3,1.5,15,50,0.4,0.1,10,3.5,2,400,40,10,3,12,0.2,1.4,0.1,0.4,1.7,65,2,5
婴儿,0.5,1,男,9,-,1000,30,33-44,127-163,400,300,700,500,70,10,8,20,50,0.6,0.4,15,3.5,3,400,50,10,3,18,0.3,0.5,0.3,0.5,1.8,80,3,6
婴儿,0.5,1,女,8.4,-,950,30,32-42,121-154,400,300,700,500,70,10,8,20,50,0.6,0.4,15,3.5,3,400,50,10,3,17,0.3,0.5,0.3,0.5,1.8,80,3,6
幼儿,1,2,男,9.9,-,1100,35,31-37,140-179,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,4,20,0.6,0.6,0.5,0.9,2,150,6,8
幼儿,1,2,女,9.2,-,1050,35,29-35,134-171,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,4,20,0.6,0.6,0.5,0.9,2,150,6,8
幼儿,2,3,男,12.2,-,1200,40,33-40,153-195,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,160,25,0.6,0.6,0.5,0.9,2,150,6,8
幼儿,2,3,女,11.7,-,1150,40,32-38,146-187,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,160,25,0.6,0.6,0.5,0.9,2,150,6,8
幼儿,3,4,男,14,-,1350,45,38-45,172-219,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,160,25,0.6,0.6,0.5,0.9,2,150,6,8
幼儿,3,4,女,13.4,-,1300,45,36-43,165-211,600,450,1000,650,100,12,9,20,50,0.8,0.6,20,3.5,15,500,60,10,160,25,0.6,0.6,0.5,0.9,2,150,6,8
学龄前,4,5,男,15.6,-,1450,50,40-48,185-236,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,30,0.7,0.7,0.6,1.2,3,200,7,12
学龄前,4,5,女,15.2,-,1400,45,39-47,178-228,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,30,0.7,0.7,0.6,1.2,3,200,7,12
学龄前,5,6,男,17.4,-,1600,55,44-53,204-260,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,35,0.7,0.7,0.6,1.2,3,200,7,12
学龄前,5,6,女,16.8,-,1500,50,42-50,191-244,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,35,0.7,0.7,0.6,1.2,3,200,7,12
学龄前,6,7,男,19.8,-,1700,55,47-57,216-276,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,40,0.7,0.7,0.6,1.2,3,200,7,12
学龄前,6,7,女,19.1,-,1600,55,44-53,204-260,800,500,1500,900,150,12,12,25,90,1,0.8,30,3.5,20,600,70,10,5,40,0.7,0.7,0.6,1.2,3,200,7,12
学龄期,7,8,男,22,-,1800,60,50-60,229-293,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,45,0.9,1,0.7,1.2,4,200,9,16
学龄期,7,8,女,21,-,1700,60,47-57,216-276,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,45,0.9,1,0.7,1.2,4,200,9,16
学龄期,8,9,男,23.8,-,1900,65,53-63,242-309,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,50,0.9,1,0.7,1.2,4,200,9,16
学龄期,8,9,女,23.2,-,1800,60,50-60,229-293,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,50,0.9,1,0.7,1.2,4,200,9,16
学龄期,9,10,男,26.4,-,2000,65,56-67,255-325,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,55,0.9,1,0.7,1.2,4,200,9,16
学龄期,9,10,女,25.8,-,1900,65,53-63,242-309,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,55,0.9,1,0.7,1.2,4,200,9,16
学龄期,10,11,男,28.8,-,2100,70,58-70,267-341,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,60,0.9,1,0.7,1.2,4,200,9,16
学龄期,10,11,女,28.8,-,2000,65,56-67,255-325,800,700,1500,1000,250,12,13.5,35,90,1.2,1,30,3.5,30,700,80,10,7,60,0.9,1,0.7,1.2,4,200,9,16
青春期,11,12,男,32.1,-,2200,70,61-73,281-356,1000,1000,1500,1200,350,16,18,45,120,1.8,1.2,40,3.5,50,700,90,5,10,65,1.2,1.2,0.9,2.4,5,300,12,20
青春期,11,12,女,32.7,-,2100,70,58-70,268-340,1000,1000,1500,1200,350,16,18,45,120,1.8,1.2,40,3.5,50,700,90,5,10,65,1.2,1.2,0.9,2.4,5,300,12,20
青春期,12,13,男,35.5,-,2300,75,64-77,294-372,1000,1000,1500,1200,350,16,18,45,120,1.8,1.2,40,3.5,50,700,90,5,10,70,1.2,1.2,0.9,2.4,5,300,12,20
青春期,12,13,女,37.2,-,2200,75,61-73,281-356,1000,1000,1500,1200,350,16,18,45,120,1.8,1.2,40,3.5,50,700,90,5,10,70,1.2,1.2,0.9,2.4,5,300,12,20
青春期,13,16,男,42,-,2400,80,67-80,307-388,1000,1000,2000,1800,350,20,18,50,150,2,1.4,40,3.5,50,800,100,5,14,80,1.5,1.5,1,1.8,5,400,15,25
青春期,13,16,女,42.4,-,2300,80,64-77,294-372,1000,1000,2000,1800,350,25,18,50,150,2,1.4,40,3.5,50,700,100,5,14,80,1.2,1.2,1.1,1.8,5,400,12,25
青春期,16,18,男,54.2,-,2800,90,78-93,358-453,1000,1000,2000,1800,350,20,18,50,150,2,1.4,40,3.5,50,800,100,5,14,100,1.5,1.5,1.2,1.8,5,400,15,25
青春期,16,18,女,48.3,-,2400,80,67-80,307-388,1000,1000,2000,1800,350,25,18,50,150,2,1.4,40,3.5,50,700,100,5,14,100,1.2,1.2,1.1,1.8,5,400,12,25
成人,18,45,男,63,极轻,2400,70,53-67,380-391,800,700,2000,2200,350,15,15.5,50,150,2,1.5,50,3.5,60,800,100,5,14,120,1.4,1.4,1.2,2.4,5,400,14,30
成人,18,45,女,53,极轻,2100,65,47-58,332-342,800,700,2000,2200,350,15,15.5,50,150,2,1.5,50,3.5,60,800,100,5,14,120,1.4,1.4,1.2,2.4,5,400,14,30
成人,18,45,男,63,轻,2600,80,58-72,411-424,800,700,2000,2200,350,15,15.5,50,150,2,1.5,50,3.5,60,800,100,5,14,120,1.4,1.4,1.2,2.4,5,400,14,30
成人,18,45,女,53,轻,2300,80,51-64,364-375,800,700,2000,2200,350,20,15.5,50,150,2,1.5,50,3.5,60,700,100,5,14,120,1.3,1.2,1.2,2.4,5,400,13,30
成人,18,45,男,63,中,3000,90,67-83,475-489,800,700,2000,2200,350,15,15.5,50,150,2,1.5,50,3.5,60,800,100,5,14,120,1.4,1.4,1.2,2.4,5,400,14,30
成人,18,45,女,53,中,2700,90,60-75,427-440,800,700,2000,2200,350,20,15.5,50,150,2,1.5,50,3.5,60,700,100,5,14,120,1.3,1.2,1.2,2.4,5,400,13,30
成人,18,45,男,63,重,3400,100,76-94,538-554,800,700,2000,2200,350,15,15.5,50,150,2,1.5,50,3.5,60,800,100,5,14,120,1.4,1.4,1.2,2.4,5,400,14,30
成人,18,45,女,53,重,3000,100,67-83,475-489,800,700,2000,2200,350,20,15.5,50,150,2,1.5,50,3.5,60,700,100,5,14,120,1.3,1.2,1.2,2.4,5,400,13,30
成人,18,45,男,63,极重,4000,110,89-111,633-652,800,700,2000,2200,350,20,15.5,50,150,2,1.5,50,3.5,60,700,100,5,14,120,1.3,1.2,1.2,2.4,5,400,13,30
