名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸B3（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
小麦粉（标准粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,9.9,362,15.7,2.5,70.9,2.1,0,12.7,0.46,0.05,1.91,0,0.32,31,167,190,3.099999905,50,0.6,0.2,7.42,0.06,0.1
小麦粉（特二粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12,352,10.4,1.1,75.9,1.6,0,0,0.15,0.11,2,0,1.25,30,120,124,1.5,48,3,0.96,6.01,0.58,0.92
小麦粉（特一，富强粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12.7,351,10.3,1.1,75.2,0.6,0,0,0.17,0.06,2,0,0.73,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77
小麦粉（代表值）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,11.2,359,12.4,1.7,74.1,0.8,0,0,0.2,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37
全麦面粉,面粉,0.4,,10.74,340,13.21,2.5,71.97,10.7,0,0,0.502,0.165,4.957,0,0,34,357,363,2,137,3.6,2.6,61.8,0.41,4.067
荞麦面,面粉,1,,14.2,340,11.3,2.8,70.2,0,0,2,0.26,0.1,3.47,0,5.31,71,243,304,0.9,151,7,1.94,2.16,0.39,0.59
玉米面（强化豆粉）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.60000038,352,11.80000019,4.900000095,68.3,6.400000095,0,0,0.209999993,0.039999999,3.099999905,0,7.130000114,18,234,370,1.600000024,106,3.400000095,1.28,9.15,0.38,0.74
玉米面（白）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.39999962,352,8,4.5,73.1,6.199999809,0,0,0.340000004,0.059999999,3,0,6.889999866,12,187,276,0.5,111,1.299999952,1.22,1.58,0.23,0.4
玉米面（黄）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,11.2,350,8.5,1.5,78.4,0,0,3,0.07,0.04,0.8,0,0.98,22,196,249,2.299999952,84,0.4,0.08,2.68,0.01,0.02
小米面,面粉,1,,11.8,357,7.2,2.1,77.7,0.7,0,0,0.13,0.08,2.5,0,0,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55
绿豆面,面粉,1,,9.600000381,341,20.79999924,0.699999988,65.8,5.800000191,0,8,0.449999988,0.119999997,0.699999988,0,0,134,304,1055,3.299999952,0,8.100000381,2.68,10.58,1.55,0
莜麦面,面粉,0.2,,8,391,13.7,8.6,67.7,0,0,0,0.2,0.09,0.29,0,0.39,40,259,255,1.8,62,3.8,2.18,2.9,0.41,1.71
牛肉（肥瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,68.1,190,18.1,13.4,0,0,84,4.5,0.03,0.11,7.4,0,0.22,8,168,216,57.4,20,3.2,4.73,6.45,0.18,0.04
牛肉（后腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78.1,93,18,1.8,1.1,0,58,1.5,0.02,0.18,3.7,0,0.74,6,195,182,70.6,20,2.3,3.93,3.82,0.1,0.04
牛肉（后腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,77.1,98,19.8,2,0.1,0,58,1,0.02,0.18,5.7,0,0.81,7,210,197,30.6,21,2.1,4.07,4.96,0.11,0.02
牛肉（前腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,76.6,100,18.4,2.1,1.8,0,58,1,0.02,0.18,4.1,0,0.42,6,181,182,61.2,22,3,7.61,4.97,0.11,0
牛肉（前腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78,95,15.7,2.4,2.7,0,58,1,0.02,0.19,3.9,0,0.71,7,181,176,54.6,20,1.6,4.5,3.51,0.11,0.05
牛肉（瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,75.2,106,20.2,2.3,1.2,0,58,3,0.07,0.13,6.3,0,0.35,9,172,284,53.6,21,2.8,3.71,10.55,0.16,0.04
牛肉（里脊）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78,107,22.2,0.9,2.4,0,63,4,0,0,7.2,0,0.8,3,241,140,75.1,29,4.4,6.92,2.76,0.11,0
牛肉（五花，肋条）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,75.1,123,18.6,5.4,0,0,84,3.5,0.06,0.13,3.1,0,0.37,19,120,217,66.6,14,2.7,4.05,2.35,0.07,0.06
猪肉（脖子，猪脖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,35.8,576,8,60.5,0,0,94,9,0.21,0.07,1.7,0,0.61,4,77,99,54,7,1.2,0.59,2.21,0.14,0
猪肉（肥）,猪肉,0.2,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,8.8,816,2.4,90.4,0,0,109,14.5,0.08,0.05,0.9,0,0.24,3,18,23,19.5,2,1,0.69,7.78,0.05,0.03
猪肉（肥，瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,46.8,395,13.2,37,2.4,0,80,0,0.22,0.16,3.5,0,0.49,6,162,204,59.4,16,1.6,2.06,11.97,0.06,0.03
猪肉（后蹄膀，后肘）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,57.6,320,17,28,0,0,79,4,0.37,0.18,2.6,0,0.48,6,142,188,76.8,12,1,1.77,6.87,0.19,0.01
猪肉（后臀尖）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,55.1,331,14.6,30.8,0,0,0,8,0.26,0.11,2.8,0,0.95,5,130,178,57.5,12,1,0.84,2.94,0.13,0
猪肉（脊背，里脊）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,70.3,155,20.2,7.9,0.7,0,81,2.5,0.47,0.12,5.2,0,0.59,6,184,317,43.2,28,1.5,2.3,5.25,0.16,0.03
猪肉（肋条肉）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,34,568,9.3,59,0,0,98,5,0.09,0.04,2.4,0,0.05,6,67,53,36.7,5,0.8,0.73,2.22,0.13,0.02
猪肉（奶面，硬五花，猪排骨肉）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,53,339,13.6,30.6,2.2,0,79,5,0.36,0.15,3.1,0,0.2,6,120,168,52,15,1.3,2.2,6.05,0.12,0.01
猪肉（奶脯，软五花）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,56.8,349,7.7,35.3,0,0,98,19.5,0.14,0.06,2,0,0.49,5,67,53,36.7,5,0.8,0.73,2.22,0.13,0
猪肉（前蹄膀，前肘）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,54.3,338,15.1,31.5,0,0,79,6.5,0.23,0.14,2,0,0.71,5,181,137,66.1,16,1.2,2.07,32.48,0.22,0
猪肉（清蒸）,猪肉,0.2,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,71.4,118,18.4,13.8,0,0,62,0,0.09,0.07,2.8,0,0,4,113,134,210.6,9,3.4,3.18,10.55,0.15,0
猪肉（瘦）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,71,143,20.3,6.2,1.5,0,81,22,0.54,0.1,5.3,0,0.34,6,189,305,57.5,25,3,2.99,9.5,0.14,0.03
猪肉（腿）,猪肉,1,猪肉（脖子，猪脖）_猪肉（肥）_猪肉（肥，瘦）_猪肉（后蹄膀，后肘）_猪肉（后臀尖）_猪肉（脊背，里脊）_猪肉（肋条肉）_猪肉（奶面，硬五花，猪排骨肉）_猪肉（奶脯，软五花）_猪肉（前蹄膀，前肘）_猪肉（清蒸）_猪肉（瘦）_猪肉（腿）,67.6,190,17.9,12.8,0.8,0,79,1.5,0.53,0.24,4.9,0,0.3,6,189,305,63,25,0.9,2.99,9.5,0.11,0.03
羊肉（后腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.8,102,15.5,4,0.9,0,60,4,0.06,0.22,4.8,0,0.37,11,182,143,90.6,20,1.7,2.18,4.49,0.16,0.08
羊肉（前腿）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.3,111,19.7,3.6,0,0,60,5.5,0.06,0.24,4.8,0,0.49,12,181,108,92,18,1.5,2.21,5.38,0.15,0.06
羊肉（肥，瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,66.9,198,19,14.1,0,0,92,11,0.05,0.14,4.5,0,0.26,6,146,232,80.6,20,2.3,3.22,32.2,0.75,0.02
羊肉（胸脯，腰窝）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,77.6,109,17.2,4.5,0,0,60,8,0.04,0.22,4,0,0.43,12,150,170,81.9,17,2.3,2.2,6.74,0.14,0.09
羊肉（里脊）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,78.1,94,17.1,2,2,0,60,3,0.05,0.29,5.2,0,0.53,14,184,161,92.1,22,1.7,1.98,5.53,0.15,0.05
羊肉（瘦）,羊肉,1,羊肉（后腿）_羊肉（前腿）_羊肉（肥，瘦）_羊肉（胸脯，腰窝）_羊肉（里脊）_羊肉（瘦）,74.2,118,20.5,3.9,0.2,0,60,5.5,0.15,0.16,5.2,0,0.31,9,196,403,69.4,22,3.9,6.06,7.18,0.12,0.03
鱿鱼（干，台湾枪乌贼）,海鲜,0.2,,21.8,313,60,4.6,7.8,0,871,0,0.02,0.13,4.9,0,9.72,87,392,1131,965.3,192,4.1,11.24,156.12,1.07,0.18
鲀（绿鳍马面鲀，面包鱼）,海鲜,1,,78.9,83,18.1,0.6,1.2,0,45,7.5,0.02,0.05,3,0,1.03,5.4,185,291,80.5,27,0.9,1.44,38.18,0.07,0.1
三文鱼、鲑鱼、生的,海鲜,1,,75.38,120,20.14,3.77,0,0,,,0.08,0.18,7,0,,11,283,429,50,22,0.55,0.47,36.5,0.06,0.02
鲅鱼（马鲛鱼，燕鲅鱼，巴鱼）,海鲜,1,,72.5,122,21.2,3.1,2.2,0,75,9.5,0.03,0.04,2.1,0,0.71,35,130,370,74.2,50,0.8,1.39,51.81,0.37,0.03
蟹（梭子蟹）,海鲜,1,,77.5,95,15.9,3.1,0.9,0,142,60.5,0.03,0.3,1.9,0,4.56,280,152,208,481.4,65,2.5,5.5,90.96,1.25,0.26
虾米（海米）,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,37.4,195,43.7,2.6,0,0,525,10.5,0.01,0.12,5,0,1.46,555,666,550,4891.9,236,11,3.82,75.4,2.33,0.77
